key,nodes,strategy,geo,round,seconds,coverage
10-no-coop-geo,10,no-coop,1,0,0,0.0278
10-no-coop-geo,10,no-coop,1,1,30,0.055
10-no-coop-geo,10,no-coop,1,2,60,0.082
10-no-coop-geo,10,no-coop,1,3,90,0.1102
10-no-coop-geo,10,no-coop,1,4,120,0.1388
10-no-coop-geo,10,no-coop,1,5,150,0.166
10-no-coop-geo,10,no-coop,1,6,180,0.195
10-no-coop-geo,10,no-coop,1,7,210,0.2222
10-no-coop-geo,10,no-coop,1,8,240,0.2498
10-no-coop-geo,10,no-coop,1,9,270,0.2766
10-no-coop-geo,10,no-coop,1,10,300,0.301
10-no-coop-geo,10,no-coop,1,11,330,0.3246
10-no-coop-geo,10,no-coop,1,12,360,0.3464
10-no-coop-geo,10,no-coop,1,13,390,0.3692
10-no-coop-geo,10,no-coop,1,14,420,0.3856
10-no-coop-geo,10,no-coop,1,15,450,0.4026
10-no-coop-geo,10,no-coop,1,16,480,0.42
10-no-coop-geo,10,no-coop,1,17,510,0.4384
10-no-coop-geo,10,no-coop,1,18,540,0.4548
10-no-coop-geo,10,no-coop,1,19,570,0.4688
10-no-coop-geo,10,no-coop,1,20,600,0.4836
10-no-coop-geo,10,no-coop,1,21,630,0.4972
10-no-coop-geo,10,no-coop,1,22,660,0.507
10-no-coop-geo,10,no-coop,1,23,690,0.5194
10-no-coop,10,no-coop,0,0,0,0.0292
10-no-coop,10,no-coop,0,1,30,0.057
10-no-coop,10,no-coop,0,2,60,0.082
10-no-coop,10,no-coop,0,3,90,0.1084
10-no-coop,10,no-coop,0,4,120,0.1348
10-no-coop,10,no-coop,0,5,150,0.1594
10-no-coop,10,no-coop,0,6,180,0.188
10-no-coop,10,no-coop,0,7,210,0.2144
10-no-coop,10,no-coop,0,8,240,0.243
10-no-coop,10,no-coop,0,9,270,0.2712
10-no-coop,10,no-coop,0,10,300,0.2978
10-no-coop,10,no-coop,0,11,330,0.3248
10-no-coop,10,no-coop,0,12,360,0.3502
10-no-coop,10,no-coop,0,13,390,0.3786
10-no-coop,10,no-coop,0,14,420,0.4074
10-no-coop,10,no-coop,0,15,450,0.4364
10-no-coop,10,no-coop,0,16,480,0.464
10-no-coop,10,no-coop,0,17,510,0.49
10-no-coop,10,no-coop,0,18,540,0.5158
10-no-coop,10,no-coop,0,19,570,0.542
10-no-coop,10,no-coop,0,20,600,0.5688
10-no-coop,10,no-coop,0,21,630,0.5928
10-no-coop,10,no-coop,0,22,660,0.6204
10-no-coop,10,no-coop,0,23,690,0.6496
10-rarest-first-geo,10,rarest-first,1,0,0,0.0078
10-rarest-first-geo,10,rarest-first,1,1,30,0.0262
10-rarest-first-geo,10,rarest-first,1,2,60,0.0454
10-rarest-first-geo,10,rarest-first,1,3,90,0.0536
10-rarest-first-geo,10,rarest-first,1,4,120,0.0686
10-rarest-first-geo,10,rarest-first,1,5,150,0.0952
10-rarest-first-geo,10,rarest-first,1,6,180,0.1826
10-rarest-first-geo,10,rarest-first,1,7,210,0.267
10-rarest-first-geo,10,rarest-first,1,8,240,0.344
10-rarest-first-geo,10,rarest-first,1,9,270,0.4096
10-rarest-first-geo,10,rarest-first,1,10,300,0.448
10-rarest-first-geo,10,rarest-first,1,11,330,0.4742
10-rarest-first-geo,10,rarest-first,1,12,360,0.5056
10-rarest-first-geo,10,rarest-first,1,13,390,0.5136
10-rarest-first-geo,10,rarest-first,1,14,420,0.5244
10-rarest-first-geo,10,rarest-first,1,15,450,0.5382
10-rarest-first-geo,10,rarest-first,1,16,480,0.5504
10-rarest-first-geo,10,rarest-first,1,17,510,0.5554
10-rarest-first-geo,10,rarest-first,1,18,540,0.5582
10-rarest-first-geo,10,rarest-first,1,19,570,0.5612
10-rarest-first-geo,10,rarest-first,1,20,600,0.572
10-rarest-first-geo,10,rarest-first,1,21,630,0.5854
10-rarest-first-geo,10,rarest-first,1,22,660,0.5916
10-rarest-first-geo,10,rarest-first,1,23,690,0.5916
10-rarest-first,10,rarest-first,0,0,0,0.012
10-rarest-first,10,rarest-first,0,1,30,0.0374
10-rarest-first,10,rarest-first,0,2,60,0.0662
10-rarest-first,10,rarest-first,0,3,90,0.0884
10-rarest-first,10,rarest-first,0,4,120,0.1132
10-rarest-first,10,rarest-first,0,5,150,0.1488
10-rarest-first,10,rarest-first,0,6,180,0.2436
10-rarest-first,10,rarest-first,0,7,210,0.3392
