key,nodes,strategy,geo,coverage_final,coverage_relevant_final,freshness_p50_s,freshness_p95_s,cellular_savings,cellular_vs_full,transfer_efficiency,transfer_duplicate,transfer_failure,server_fetches
10-no-coop-geo,10,no-coop,1,0.5194,0.899,270,630,0,0.4927,,,,404
10-no-coop,10,no-coop,0,0.6496,0.6496,330,660,0,0.3639,,,,480
10-rarest-first-geo,10,rarest-first,1,0.5916,0.9898,240,600,0.687,0.8165,0.7884,0.1621,0.0494,141
10-rarest-first,10,rarest-first,0,0.9878,0.9878,270,600,0.7406,0.7449,0.7911,0.1482,0.0607,202
10-replication-geo,10,replication,1,0.5926,0.9917,240,570,0.6543,0.797,0.753,0.1893,0.0578,156
10-replication,10,replication,0,0.9846,0.9846,270,600,0.7176,0.7217,0.7239,0.2149,0.0612,216
100-no-coop-geo,100,no-coop,1,0.5325,0.8946,270,660,0,0.4802,,,,4116
100-no-coop,100,no-coop,0,0.6514,0.6514,360,660,0,0.3627,,,,4800
100-rarest-first-geo,100,rarest-first,1,0.6134,1,150,330,0.8442,0.9052,0.6749,0.2669,0.0582,782
100-rarest-first,100,rarest-first,0,1,1,180,420,0.8283,0.8283,0.6502,0.2901,0.0596,1405
100-replication-geo,100,replication,1,0.6134,1,150,360,0.8207,0.8909,0.6365,0.3056,0.0579,856
100-replication,100,replication,0,1,1,210,450,0.8109,0.8109,0.599,0.3437,0.0573,1430
20-no-coop-geo,20,no-coop,1,0.5328,0.8898,270,630,0,0.4792,,,,828
20-no-coop,20,no-coop,0,0.6505,0.6505,360,660,0,0.363,,,,960
20-rarest-first-geo,20,rarest-first,1,0.6173,1,180,390,0.7686,0.8582,0.68,0.2524,0.0676,225
20-rarest-first,20,rarest-first,0,1,1,210,480,0.7938,0.7938,0.6883,0.2456,0.0661,327
20-replication-geo,20,replication,1,0.6173,1,210,420,0.7444,0.8434,0.6447,0.2857,0.0696,243
20-replication,20,replication,0,0.9962,0.9962,240,510,0.7706,0.7715,0.6171,0.3177,0.0653,353
50-no-coop-geo,50,no-coop,1,0.5311,0.8928,270,660,0,0.4812,,,,2058
50-no-coop,50,no-coop,0,0.6508,0.6508,360,660,0,0.3629,,,,2400
50-rarest-first-geo,50,rarest-first,1,0.6134,1,150,360,0.8394,0.9022,0.6751,0.2645,0.0604,395
50-rarest-first,50,rarest-first,0,1,1,180,420,0.8226,0.8226,0.6513,0.2895,0.0592,715
50-replication-geo,50,replication,1,0.6134,1,180,390,0.8084,0.8834,0.6391,0.3002,0.0607,461
50-replication,50,replication,0,1,1,210,450,0.8008,0.8008,0.6112,0.3275,0.0613,771
