run,sample_index,current_ua,voltage_uv,battery_status,power_mw
1,1,-121250,4108125,Not charging,498.11
1,2,-79375,4109531,Not charging,326.19
1,3,-118437,4106718,Not charging,486.39
1,4,-104062,4108125,Not charging,427.5
1,5,-92812,4109531,Not charging,381.41
1,6,-102812,4109843,Not charging,422.54
1,7,-83437,4108593,Not charging,342.81
1,8,-80312,4108593,Not charging,329.97
1,9,-99687,4103125,Not charging,409.03
1,10,-92500,4110156,Not charging,380.19
1,11,-100937,4108593,Not charging,414.71
1,12,-87500,4108125,Not charging,359.46
1,13,-140937,4107343,Not charging,578.88
1,14,-113125,4107656,Not charging,464.68
1,15,-115312,4109218,Not charging,473.84
1,16,-89687,4109687,Not charging,368.59
1,17,-82500,4111562,Not charging,339.2
1,18,-94687,4109687,Not charging,389.13
1,19,-218750,4101875,Not charging,897.29
1,20,-86562,4110156,Not charging,355.78
1,21,-81562,4109531,Not charging,335.18
1,22,-96875,4110937,Not charging,398.25
1,23,-113125,4110156,Not charging,464.96
1,24,-126562,4107812,Not charging,519.89
1,25,-91562,4111406,Not charging,376.45
1,26,-100000,4109687,Not charging,410.97
1,27,-127500,4107812,Not charging,523.75
1,28,-211562,4105468,Not charging,868.56
1,29,-95937,4108750,Not charging,394.18
1,30,-87500,4110312,Not charging,359.65
1,31,-88750,4109843,Not charging,364.75
1,32,-104062,4111406,Not charging,427.84
1,33,-123437,4109687,Not charging,507.29
1,34,-151875,4107656,Not charging,623.85
1,35,-375000,4082187,Not charging,1530.82
1,36,-80312,4109843,Not charging,330.07
1,37,-96875,4110312,Not charging,398.19
1,38,-96875,4110156,Not charging,398.17
1,39,-101875,4107812,Not charging,418.48
1,40,-95625,4110468,Not charging,393.06
1,41,-82500,4110625,Not charging,339.13
1,42,-114062,4109218,Not charging,468.71
1,43,-100937,4108750,Not charging,414.72
1,44,-129687,4095937,Not charging,531.19
1,45,-86562,4110468,Not charging,355.81
1,46,-86562,4111406,Not charging,355.89
1,47,-97812,4110625,Not charging,402.07
1,48,-87500,4110937,Not charging,359.71
1,49,-93750,4110781,Not charging,385.39
1,50,-80625,4110468,Not charging,331.41
1,51,-77187,4110937,Not charging,317.31
1,52,-93750,4110156,Not charging,385.33
1,53,-80312,4108750,Not charging,329.98
1,54,-102812,4110781,Not charging,422.64
1,55,-77500,4112343,Not charging,318.71
1,56,-104062,4109687,Not charging,427.66
1,57,-105937,4110312,Not charging,435.43
1,58,-79375,4110625,Not charging,326.28
1,59,-100937,4111250,Not charging,414.98
1,60,-110000,4109843,Not charging,452.08
2,1,-134687,4106093,Not charging,553.04
2,2,-176562,4103906,Not charging,724.59
2,3,-82500,4109375,Not charging,339.02
2,4,-82500,4109218,Not charging,339.01
2,5,-92812,4109687,Not charging,381.43
2,6,-105000,4106250,Not charging,431.16
2,7,-81250,4109531,Not charging,333.9
2,8,-97812,4109218,Not charging,401.93
2,9,-89687,4109218,Not charging,368.54
2,10,-84375,4110937,Not charging,346.86
2,11,-109062,4108125,Not charging,448.04
2,12,-93750,4108750,Not charging,385.2
2,13,-77500,4109375,Not charging,318.48
2,14,-135625,4105156,Not charging,556.76
2,15,-194062,4102968,Not charging,796.23
2,16,-110937,4108281,Not charging,455.76
2,17,-70000,4101406,Not charging,287.1
2,18,-90625,4109218,Not charging,372.4
2,19,-82500,4110937,Not charging,339.15
2,20,-77500,4110156,Not charging,318.54
2,21,-103125,4109843,Not charging,423.83
2,22,-101875,4109375,Not charging,418.64
2,23,-94687,4108281,Not charging,389.0
2,24,-79375,4110468,Not charging,326.27
2,25,-91875,4109687,Not charging,377.58
2,26,-88750,4110156,Not charging,364.78
2,27,-87500,4108906,Not charging,359.53
2,28,-85625,4111250,Not charging,352.03
2,29,-123437,4107656,Not charging,507.04
2,30,-77187,4100156,Not charging,316.48
2,31,-94687,4110625,Not charging,389.22
2,32,-92812,4109843,Not charging,381.44
