run,sample_index,current_ua,voltage_uv,battery_status,power_mw
1,1,-134687,4106562,Not charging,553.1
1,2,-101875,4108281,Not charging,418.53
1,3,-91562,4109375,Not charging,376.26
1,4,-101875,4108437,Not charging,418.55
1,5,-110000,4107343,Not charging,451.81
1,6,-100625,4107500,Not charging,413.32
1,7,-98750,4108437,Not charging,405.71
1,8,-116250,4108281,Not charging,477.59
1,9,-107187,4107343,Not charging,440.25
1,10,-104062,4107031,Not charging,427.39
1,11,-142812,4107500,Not charging,586.6
1,12,-93750,4107343,Not charging,385.06
1,13,-113125,4108906,Not charging,464.82
1,14,-82500,4107500,Not charging,338.87
1,15,-116250,4107187,Not charging,477.46
1,16,-96562,4108750,Not charging,396.75
1,17,-101875,4108437,Not charging,418.55
1,18,-125625,4108281,Not charging,516.1
1,19,-100937,4099062,Not charging,413.75
1,20,-105937,4103593,Not charging,434.72
1,21,-123437,4107656,Not charging,507.04
1,22,-107812,4105625,Not charging,442.64
1,23,-112187,4108906,Not charging,460.97
1,24,-105000,4107656,Not charging,431.3
1,25,-97812,4107812,Not charging,401.79
1,26,-88750,4107031,Not charging,364.5
1,27,-134687,4109375,Not charging,553.48
1,28,-544375,4070937,Not charging,2216.12
1,29,-230937,4098437,Not charging,946.48
1,30,-116562,4107656,Not charging,478.8
1,31,-110000,4106718,Not charging,451.74
1,32,-101875,4106562,Not charging,418.36
1,33,-106875,4107343,Not charging,438.97
1,34,-113125,4108125,Not charging,464.73
1,35,-188750,4104218,Not charging,774.67
1,36,-100937,4108281,Not charging,414.68
1,37,-116250,4108750,Not charging,477.64
1,38,-117187,4109531,Not charging,481.58
1,39,-84687,4108906,Not charging,347.97
1,40,-97812,4108906,Not charging,401.9
1,41,-92812,4101250,Not charging,380.65
1,42,-93750,4107500,Not charging,385.08
1,43,-132812,4107031,Not charging,545.46
1,44,-98750,4109531,Not charging,405.82
1,45,-82500,4109218,Not charging,339.01
1,46,-102812,4108593,Not charging,422.41
