elapsed_s,power_mw
0.0,41.97
1.0,2.71
2.0,55.51
3.0,2.71
4.1,33.85
5.1,16.25
6.1,14.89
7.1,24.37
8.1,37.91
9.2,20.31
10.2,6.77
11.2,69.06
12.2,10.83
13.2,16.25
14.3,47.39
15.3,2.71
16.3,2.71
17.3,37.91
18.3,59.58
19.3,6.77
20.4,20.31
21.4,29.79
22.4,10.83
23.4,24.37
24.4,16.25
25.5,2.71
26.5,2.71
27.5,10.83
28.5,24.37
29.5,20.31
30.6,24.37
31.6,33.85
32.6,59.58
33.6,29.79
34.6,20.31
35.7,20.31
36.7,1.35
37.7,2.71
38.7,10.83
39.7,10.83
40.8,10.83
41.8,65.00
42.8,6.77
43.8,29.79
44.8,51.45
45.9,16.25
46.9,6.77
47.9,24.37
48.9,24.37
49.9,6.77
51.0,10.83
52.0,29.79
53.0,10.83
54.0,1.35
55.0,24.37
56.1,33.85
57.1,16.25
58.1,47.39
59.1,14.89
