elapsed_s,power_mw
0.0,1810.38
1.0,20.31
2.0,33.85
3.1,37.91
4.1,20.31
5.1,10.83
6.1,29.79
7.2,20.31
8.2,55.51
9.2,144.88
10.3,33.85
11.3,2.71
12.3,16.25
13.3,24.37
14.4,6.77
15.4,32.50
16.4,10.83
17.4,16.25
18.5,37.91
19.5,10.83
20.5,10.83
21.5,55.51
22.6,65.00
23.6,33.85
24.6,2.71
25.7,18.96
26.7,29.79
27.7,6.77
28.7,51.45
29.8,55.51
30.8,65.00
31.8,29.79
32.8,37.91
33.8,29.79
34.8,6.77
35.9,10.83
36.9,6.77
37.9,20.31
38.9,24.37
40.0,29.79
41.0,10.83
42.0,33.85
43.0,16.25
44.1,24.37
45.1,37.91
46.1,10.83
47.1,2.71
48.2,14.89
49.2,29.79
50.2,18.96
51.2,2.71
52.3,20.31
53.3,20.31
54.3,47.39
55.3,37.91
56.4,1.35
57.4,37.91
58.4,16.25
59.5,10.83
