[    4423ms] [LOG] myLocationRenderMode not available in web @ http://localhost:8788/dart_sdk.js:32230
[    4471ms] [LOG] MapCanvas camera settled: zoom=5, target=LatLng(23.65, 121.05000000000001), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=null @ http://localhost:8788/dart_sdk.js:32230
[    4548ms] [LOG] MapCanvas camera settled: zoom=5, target=LatLng(23.649999999999995, 121.05000000000001), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=5 @ http://localhost:8788/dart_sdk.js:32230
[    5809ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.65, 121.05000000000001), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[    5834ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.649999999999995, 121.05000000000001), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[   18429ms] [LOG] MapCanvas camera settled: zoom=10.2, target=LatLng(25.07701063535714, 121.59022596785712), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=10.2 @ http://localhost:8788/dart_sdk.js:32230
[   18479ms] [LOG] MapCanvas camera settled: zoom=10.2, target=LatLng(25.077010635357148, 121.59022596785712), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=10.2 @ http://localhost:8788/dart_sdk.js:32230
[   20138ms] [LOG] MapCanvas camera settled: zoom=11.6, target=LatLng(25.07701063535714, 121.59022596785712), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=11.6 @ http://localhost:8788/dart_sdk.js:32230
[   20183ms] [LOG] MapCanvas camera settled: zoom=11.6, target=LatLng(25.077010635357148, 121.59022596785712), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=11.6 @ http://localhost:8788/dart_sdk.js:32230
[   21715ms] [LOG] MapCanvas camera settled: zoom=11.720743634960193, target=LatLng(25.07804009314036, 121.59109887602062), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=11.6 @ http://localhost:8788/dart_sdk.js:32230
[   21764ms] [LOG] MapCanvas camera settled: zoom=11.720743634960193, target=LatLng(25.078040093140366, 121.59109887602062), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=11.720743634960193 @ http://localhost:8788/dart_sdk.js:32230
[   22063ms] [LOG] MapCanvas camera settled: zoom=11.748753446152776, target=LatLng(25.07826684074159, 121.59129114310622), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=11.720743634960193 @ http://localhost:8788/dart_sdk.js:32230
